x,y,z
2.099630,0.160287,1.706650
2.097860,0.089503,1.689150
2.133910,0.087285,1.705040
2.138330,0.152925,1.721440
2.098260,0.053101,1.681630
2.134280,0.053789,1.698110
2.130520,0.255928,2.073780
2.131430,0.280371,1.982960
2.133090,0.270360,1.855080
2.133790,0.251085,1.811590
2.134840,0.209370,1.755480
2.130780,0.040731,2.200280
2.130510,0.070931,2.201620
2.130290,0.109546,2.192700
2.130040,0.166900,2.173800
2.130210,0.219924,2.123770
2.091490,0.272234,2.079740
2.092450,0.298559,1.983470
2.091170,0.233265,2.132650
2.091010,0.175847,2.185050
2.091280,0.113826,2.205830
2.091530,0.071752,2.214650
2.094220,0.287605,1.848020
2.097550,0.266687,1.801970
2.096080,0.221591,1.742330
2.091810,0.039263,2.213750
0.057363,0.261180,2.101670
0.057261,0.272710,2.101990
0.159929,0.271783,2.170770
0.160291,0.230852,2.169630
0.144591,0.264756,2.160380
0.174814,0.262485,2.187210
0.218745,0.183242,2.267560
0.235114,0.104986,2.295080
0.241092,0.060094,2.302900
0.241139,0.025502,2.301940
0.221106,0.026252,2.268200
0.220215,0.101314,2.267790
-2.832670,0.030557,1.595030
-2.832820,0.048024,1.594520
-3.688250,0.024874,1.731060
-3.688230,0.021972,1.731680
-2.834000,0.133659,1.631400
-2.835440,0.135349,1.747250
-3.689490,0.037759,1.822920
-3.688640,0.038841,1.752730
-2.836300,0.136915,1.815590
-2.837060,0.133703,1.879410
-3.690470,0.035874,1.903360
-3.690000,0.037214,1.864400
-2.837660,0.129983,1.930300
-3.690840,0.034640,1.934330
-2.839140,0.118062,2.058470
-2.839500,0.082524,2.112480
-3.692140,0.024416,2.046040
-3.691780,0.031023,2.012730
0.677678,0.029267,2.300070
0.677369,0.064220,2.301040
0.689315,0.097770,1.309980
0.689677,0.056763,1.308840
0.925252,0.057456,1.321840
0.922303,0.098394,1.322950
0.690938,0.194976,1.342220
0.926368,0.183522,1.354390
0.686188,0.291756,1.450880
0.931902,0.289044,1.462420
0.684669,0.330920,1.546980
0.920028,0.331656,1.556480
0.683042,0.330720,1.678970
0.918431,0.331525,1.685980
0.678187,0.297831,2.095050
0.679897,0.323513,1.938770
0.915341,0.324443,1.941280
0.913670,0.299146,2.094070
0.677359,0.265056,2.184640
0.912858,0.266111,2.182650
0.676669,0.186131,2.273940
0.912444,0.187230,2.270460
0.677104,0.108902,2.291790
0.912885,0.110014,2.287810
0.913150,0.065333,2.297060
0.913465,0.030445,2.295590
1.150180,0.058004,1.337710
1.149820,0.098901,1.338850
1.151380,0.176546,1.369040
1.159460,0.289634,1.475320
1.145020,0.332587,1.566860
1.143470,0.332251,1.693350
-2.834600,0.041348,1.743680
-2.833230,0.046478,1.629480
-3.688510,0.024196,1.752390
-3.689350,0.021948,1.821980
1.140450,0.325336,1.942660
1.138810,0.300122,2.092450
1.138030,0.267156,2.178540
1.137640,0.188330,2.264340
1.138090,0.111128,2.281190
1.138360,0.066460,2.289950
1.138670,0.031617,2.288970
-2.839440,0.040021,2.136800
-3.692260,0.016895,2.061340
1.362180,0.058510,1.352910
1.361820,0.099612,1.354050
1.363390,0.176982,1.383740
1.368900,0.289821,1.487980
1.357090,0.333148,1.577060
1.355560,0.333184,1.700560
1.352610,0.326420,1.944370
1.351030,0.301029,2.090170
1.350260,0.268393,2.174760
1.349900,0.189348,2.258060
1.350360,0.112160,2.274410
1.350630,0.067492,2.283160
1.350940,0.032732,2.282190
1.548170,0.058539,1.379770
1.547810,0.099537,1.380910
1.551970,0.176952,1.409630
1.557540,0.289901,1.509880
1.543170,0.333295,1.595920
1.541700,0.333456,1.714930
1.538860,0.326942,1.949750
1.537330,0.301675,2.091040
1.536600,0.269136,2.172140
1.536280,0.190463,2.252450
1.536740,0.113289,2.268300
1.537020,0.068635,2.276550
1.537320,0.033690,2.275580
1.718470,0.058108,1.419920
1.715520,0.098974,1.421030
1.719700,0.176718,1.448260
1.722750,0.288637,1.543440
1.713610,0.333369,1.624090
1.712220,0.333421,1.736590
1.709540,0.327282,1.957920
1.708110,0.302539,2.090730
1.707450,0.269836,2.167320
1.707180,0.191288,2.243130
1.707650,0.114142,2.257980
1.707930,0.069501,2.265740
1.708250,0.034686,2.264270
1.868030,0.057458,1.462800
1.867670,0.098517,1.463950
1.869280,0.175998,1.489640
1.872400,0.288371,1.578840
1.863330,0.332968,1.653980
1.862030,0.333516,1.758990
1.859530,0.327793,1.965340
1.858220,0.303011,2.089150
1.857610,0.270735,2.160750
1.857400,0.192339,2.231060
1.857890,0.115221,2.244920
1.858180,0.070306,2.252160
1.858490,0.035602,2.250700
1.975210,0.054927,1.586610
1.976220,0.057242,1.503180
1.866520,0.053993,1.587710
1.975870,0.096972,1.504280
1.977530,0.171915,1.527900
1.973020,0.278077,1.610330
1.971800,0.318510,1.681450
1.970540,0.324441,1.779620
1.968200,0.319091,1.972470
1.966980,0.295410,2.087810
1.966420,0.264138,2.154440
1.966260,0.188172,2.220320
1.966740,0.113690,2.232750
1.967020,0.070518,2.239550
1.967320,0.036854,2.238110
2.065890,0.037721,2.218880
2.065590,0.070269,2.220290
2.073550,0.055282,1.585870
2.073970,0.056238,1.551390
2.073630,0.094563,1.552460
2.075330,0.167255,1.574020
2.070950,0.269590,1.648840
2.069830,0.301733,1.717230
2.068660,0.315517,1.802670
2.066540,0.310654,1.977980
2.065440,0.287841,2.082850
2.065010,0.250983,2.142820
2.064840,0.184422,2.202470
2.065310,0.112273,2.213960
2.078720,0.055396,1.585940
2.072710,0.053355,1.655310
2.093410,0.053741,1.655090
2.094990,0.146771,1.672710
2.093030,0.090562,1.660110
2.094750,0.161510,1.682120
-2.839220,0.014943,2.136100
-3.692220,0.012686,2.061220
0.160555,0.295273,2.103930
0.162281,0.321285,1.946150
0.165371,0.328367,1.690850
0.166611,0.327680,1.590830
0.169378,0.289603,1.455780
0.173439,0.213601,1.346690
0.172025,0.092758,1.313790
0.172383,0.052207,1.312660
0.169383,0.045333,1.560470
