x,y,z
-22.765690,6.338399,-4.951019
-24.828943,3.663146,-5.379315
-18.126680,6.256176,-2.233833
-69.538712,-13.853996,-33.238293
-73.338165,-8.638906,-39.428539
-73.036499,-11.779409,-42.271198
-71.329483,-15.302280,-44.131741
-67.764389,-18.939651,-43.676628
-67.811127,-10.153288,-26.580376
-71.750221,-5.609310,-33.420971
-73.192474,5.400038,-41.375713
-73.407234,-0.835892,-44.964489
-24.160028,-33.241592,-18.369274
-25.318449,-30.015671,-24.323029
-27.676233,-31.785328,-32.509171
-24.480110,-26.074257,-23.065248
-27.099941,-27.065926,-35.492645
-29.965189,-27.516964,-52.366890
-5.382788,-29.469330,4.016361
0.000004,-31.455631,2.984590
0.000000,-29.841881,4.946466
-8.391298,9.069082,8.272821
-8.500622,11.838559,5.898764
-10.968779,8.020267,4.187462
-7.327740,14.955769,5.283064
-8.017666,14.869652,4.165712
-10.567364,10.970453,3.025777
-13.688372,7.624866,1.052883
-28.109715,-16.994911,-46.839817
-28.651739,-22.730503,-50.929977
-25.508034,-21.632153,-30.888824
-24.196997,-22.344170,-15.681982
-26.269783,-20.877712,-10.672798
-26.713173,-17.328274,-23.157354
-45.100784,-22.915276,-21.763794
-52.470154,-22.431961,-33.121197
-44.379223,-15.783291,-34.471844
-57.936565,-22.172829,-42.674015
-53.349407,-18.742050,-39.728596
-41.098774,-12.868973,-49.827538
-50.131588,-15.662121,-49.727356
-62.554192,-30.570366,-129.276276
-62.340302,-34.411709,-137.201355
-60.143841,-31.299759,-130.787262
-62.540142,-38.918938,-142.268341
-60.036980,-34.668663,-136.881088
-56.463959,-30.546589,-129.197464
-49.327168,-22.015732,-99.736626
-52.208733,-26.626385,-117.435577
-46.649162,-24.606949,-111.296425
-51.242752,-29.529827,-125.699348
-44.793045,-28.217316,-120.601562
-6.699644,-27.313904,-139.690475
0.000000,-27.006634,-139.489914
0.000000,-27.075562,-117.826752
-24.475481,-28.353317,-138.826508
-22.115990,-26.934299,-113.358200
-29.208517,-28.548363,-133.632599
-20.234596,-25.340729,-75.067200
-26.898384,-26.723152,-109.956177
-35.614723,-31.868584,-140.536316
-48.748177,-34.921112,-134.951736
-55.227341,-40.452629,-142.424408
-52.820114,-40.804905,-143.230438
-45.255753,-35.515495,-136.064041
-39.081635,-30.400723,-123.098969
-42.209858,-30.812454,-124.831421
-30.738810,28.428333,-2.156822
-48.795959,32.933861,-6.345509
-45.880924,30.117155,-6.495231
-30.055588,26.408886,-2.933397
-16.404886,22.587860,-0.324592
-17.727295,24.928749,0.323957
-30.204088,25.111626,-5.072098
-17.859104,21.844030,-2.796820
-45.096497,28.424351,-8.529002
-28.387585,28.290663,-14.108396
-43.164757,31.166140,-17.917110
-43.105682,31.228785,-22.056997
-29.712957,29.156189,-18.924183
-18.473719,25.312611,-17.128395
-16.062763,24.134468,-11.819795
-12.469362,23.512806,1.685517
-11.245911,21.748631,1.750771
-9.889585,21.495321,2.657375
-6.920628,21.026157,4.130034
-7.357895,24.182095,4.087677
-11.586172,24.455048,2.548970
-7.478510,28.537441,4.125560
-12.061745,28.286682,3.049184
-17.128677,28.058815,1.535609
-10.965746,16.031052,-0.343529
-9.446634,15.956784,1.596122
-9.205297,19.115265,2.036522
-11.377995,19.318796,0.104072
-7.801958,18.405363,3.488692
-7.643728,16.397945,3.546341
-7.269909,17.338280,4.195057
-8.882030,19.741728,2.736141
-6.845251,18.955276,3.999173
-12.470875,19.228918,-2.036049
-13.693926,21.304703,-16.333838
-10.880295,20.615868,-10.761965
-13.282597,17.523165,-16.123062
-10.504339,17.344309,-10.752365
-11.924053,16.212576,-2.289255
-59.128433,34.959312,-10.192138
-58.495743,33.680187,-9.700089
-66.232681,33.550472,-15.070107
-65.189278,32.138329,-13.861177
-63.455078,30.444674,-13.541545
-56.806679,31.420458,-10.032067
-55.852341,29.881191,-12.078883
-62.098900,29.308975,-15.225989
-52.816673,31.221962,-21.790585
-56.829086,29.389490,-25.289242
-55.096573,28.559536,-28.494537
-51.681702,30.755272,-25.385056
-64.684250,26.658619,-17.942619
-66.380424,27.174736,-16.474958
-67.017319,22.641308,-18.416208
-65.078682,22.751287,-19.856054
-57.954712,26.806862,-28.505302
-58.221401,23.613054,-30.349640
-56.489014,23.201359,-33.350582
-56.011833,26.139360,-31.474319
-68.587395,27.962219,-17.447803
-69.900879,28.713287,-19.321815
-70.821960,22.326691,-22.022354
-69.320854,22.402170,-19.744627
-68.364365,16.810684,-20.684166
-69.652924,16.187386,-23.133503
-67.657318,10.611394,-23.252716
-66.515396,11.508318,-20.719898
-64.790817,12.943745,-19.193821
-66.268394,17.725277,-19.223261
-64.433708,18.336996,-20.646368
-63.242195,14.064549,-20.598801
-56.836494,19.550985,-33.669540
-58.155159,19.570116,-31.216032
-56.853928,15.251213,-31.919216
-61.672310,10.577446,-19.930460
-62.739849,8.736308,-18.610043
-60.019833,5.475904,-17.769691
-59.338966,7.826855,-18.939674
-54.514328,12.392381,-32.590466
-55.744747,11.758672,-29.914616
-64.219398,6.684618,-20.181488
-65.438286,5.464688,-22.842634
-62.713821,1.245360,-21.948324
-61.374413,2.818214,-19.340881
-57.500553,0.400450,-17.983013
-58.677265,-1.482334,-20.074835
-51.193474,-2.057079,-16.658373
-50.571823,-0.447903,-15.485883
-49.504841,2.523189,-14.688673
-56.348053,3.314379,-16.699905
-55.830517,5.800149,-17.675009
-49.357002,4.824121,-15.677414
-53.072090,9.278826,-28.515583
-47.024158,7.499715,-26.169838
-46.479210,8.868509,-29.674824
-51.948669,10.277294,-31.818993
-36.925091,5.436230,-11.896111
-37.109787,3.347427,-10.718805
-23.942400,7.946220,-7.018004
-34.860882,7.102663,-21.098419
-22.017971,9.447543,-15.458561
-23.673153,9.451092,-19.409069
